STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208002809 GHz,
TABLE,Group 1 Raw,UOPS_RETIRE,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,22290580290
CPU_CLK_UNHALTED_CORE,FIXC1,7115697927
CPU_CLK_UNHALTED_REF,FIXC2,9264567348
UOPS_RETIRED_USED_CYCLES,PMC0,4690374081
UOPS_RETIRED_STALL_CYCLES,PMC1,2425323846
CPU_CLOCK_UNHALTED_TOTAL_CYCLES,PMC2,7115697927
UOPS_RETIRED_STALL_CYCLES,PMC3,1351438385
TABLE,Group 1 Metric,UOPS_RETIRE,7
Metric,Core 0,
Runtime (RDTSC) [s],4.2995,
Runtime unhalted [s],3.2227,
Clock [MHz],1695.8678,
CPI,0.3192,
Used cycles ratio [%],65.9159,
Unused cycles ratio [%],34.0841,
Avg stall duration [cycles],1.7946,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208002809 GHz,
TABLE,Group 2 Raw,L3,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,22290883237
CPU_CLK_UNHALTED_CORE,FIXC1,7113017322
CPU_CLK_UNHALTED_REF,FIXC2,9260162020
L2_LINES_IN_ALL,PMC0,35314
L2_TRANS_L2_WB,PMC1,3408
TABLE,Group 2 Metric,L3,10
Metric,Core 0,
Runtime (RDTSC) [s],4.2991,
Runtime unhalted [s],3.2215,
Clock [MHz],1696.0354,
CPI,0.3191,
L3 load bandwidth [MBytes/s],0.5257,
L3 load data volume [GBytes],0.0023,
L3 evict bandwidth [MBytes/s],0.0507,
L3 evict data volume [GBytes],0.0002,
L3 bandwidth [MBytes/s],0.5765,
L3 data volume [GBytes],0.0025,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208002809 GHz,
TABLE,Group 3 Raw,DATA,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,22286642425
CPU_CLK_UNHALTED_CORE,FIXC1,7113334974
CPU_CLK_UNHALTED_REF,FIXC2,9260572524
MEM_INST_RETIRED_ALL_LOADS,PMC0,8912838484
MEM_INST_RETIRED_ALL_STORES,PMC1,15596109
TABLE,Group 3 Metric,DATA,5
Metric,Core 0,
Runtime (RDTSC) [s],4.2993,
Runtime unhalted [s],3.2216,
Clock [MHz],1696.0359,
CPI,0.3192,
Load to store ratio,571.4783,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208002809 GHz,
TABLE,Group 4 Raw,FLOPS_AVX,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,22289342263
CPU_CLK_UNHALTED_CORE,FIXC1,7113288772
CPU_CLK_UNHALTED_REF,FIXC2,9260557896
FP_ARITH_INST_RETIRED_256B_PACKED_SINGLE,PMC0,0
FP_ARITH_INST_RETIRED_256B_PACKED_DOUBLE,PMC1,0
TABLE,Group 4 Metric,FLOPS_AVX,6
Metric,Core 0,
Runtime (RDTSC) [s],4.2990,
Runtime unhalted [s],3.2216,
Clock [MHz],1696.0276,
CPI,0.3191,
Packed SP MFLOP/s,0,
Packed DP MFLOP/s,0,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208002809 GHz,
TABLE,Group 5 Raw,L2CACHE,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,22288303178
CPU_CLK_UNHALTED_CORE,FIXC1,7113325171
CPU_CLK_UNHALTED_REF,FIXC2,9260558632
L2_TRANS_ALL_REQUESTS,PMC0,310708
L2_RQSTS_MISS,PMC1,33913
TABLE,Group 5 Metric,L2CACHE,7
Metric,Core 0,
Runtime (RDTSC) [s],4.2993,
Runtime unhalted [s],3.2216,
Clock [MHz],1696.0361,
CPI,0.3192,
L2 request rate,1.394041e-05,
L2 miss rate,1.521560e-06,
L2 miss ratio,0.1091,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208002809 GHz,
TABLE,Group 6 Raw,CYCLE_ACTIVITY,7
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,22284243825
CPU_CLK_UNHALTED_CORE,FIXC1,7113143399
CPU_CLK_UNHALTED_REF,FIXC2,9260325412
CYCLE_ACTIVITY_CYCLES_L2_PENDING,PMC0,235203
CYCLE_ACTIVITY_CYCLES_LDM_PENDING,PMC1,7094412594
CYCLE_ACTIVITY_CYCLES_L1D_PENDING,PMC2,340606
CYCLE_ACTIVITY_CYCLES_NO_EXECUTE,PMC3,26821985
TABLE,Group 6 Metric,CYCLE_ACTIVITY,8
Metric,Core 0,
Runtime (RDTSC) [s],4.2993,
Runtime unhalted [s],3.2215,
Clock [MHz],1696.0355,
CPI,0.3192,
Cycles without execution [%],0.3771,
Cycles without execution due to L1D [%],0.0048,
Cycles without execution due to L2 [%],0.0033,
Cycles without execution due to memory loads [%],99.7367,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208002809 GHz,
TABLE,Group 7 Raw,TLB_INSTR,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,22282996178
CPU_CLK_UNHALTED_CORE,FIXC1,7112818532
CPU_CLK_UNHALTED_REF,FIXC2,9259894852
ITLB_MISSES_CAUSES_A_WALK,PMC0,2084
ITLB_MISSES_WALK_ACTIVE,PMC1,81960
TABLE,Group 7 Metric,TLB_INSTR,7
Metric,Core 0,
Runtime (RDTSC) [s],4.2990,
Runtime unhalted [s],3.2214,
Clock [MHz],1696.0369,
CPI,0.3192,
L1 ITLB misses,2084,
L1 ITLB miss rate,9.352423e-08,
L1 ITLB miss duration [Cyc],39.3282,
STRUCT,Info,3
CPU name:,Intel(R) Core(TM) i7-8750H CPU @ 2.20GHz,
CPU type:,Intel Coffeelake processor,
CPU clock:,2.208002809 GHz,
TABLE,Group 8 Raw,MEM,5
Event,Counter,Core 0
INSTR_RETIRED_ANY,FIXC0,22285039945
CPU_CLK_UNHALTED_CORE,FIXC1,7113292886
CPU_CLK_UNHALTED_REF,FIXC2,9260518244
DRAM_READS,MBOX0C1,982594
DRAM_WRITES,MBOX0C2,185793
TABLE,Group 8 Metric,MEM,10
Metric,Core 0,
Runtime (RDTSC) [s],4.2992,
Runtime unhalted [s],3.2216,
Clock [MHz],1696.0358,
CPI,0.3192,
Memory load bandwidth [MBytes/s],14.6274,
Memory load data volume [GBytes],0.0629,
Memory evict bandwidth [MBytes/s],2.7658,
