Freq,HT,Run time,Runtime (RDTSC) [s],Runtime unhalted [s],Clock [MHz],CPI,Used cycles ratio [%],Unused cycles ratio [%],Avg stall duration [cycles],L3 load bandwidth [MBytes/s],L3 load data volume [GBytes],L3 evict bandwidth [MBytes/s],L3 evict data volume [GBytes],L3 bandwidth [MBytes/s],L3 data volume [GBytes],Load to store ratio,Packed SP MFLOP/s,Packed DP MFLOP/s,L2 request rate,L2 miss rate,L2 miss ratio,Cycles without execution [%],Cycles without execution due to L1D [%],Cycles without execution due to L2 [%],Cycles without execution due to memory loads [%],L1 ITLB misses,L1 ITLB miss rate,L1 ITLB miss duration [Cyc],Memory load bandwidth [MBytes/s],Memory load data volume [GBytes],Memory evict bandwidth [MBytes/s],Memory evict data volume [GBytes],Memory bandwidth [MBytes/s],Memory data volume [GBytes],Energy [J],Power [W],Energy DRAM [J],Power DRAM [W],DP MFLOP/s,AVX DP MFLOP/s,Packed MUOPS/s,Scalar MUOPS/s,Operational intensity,Vectorization ratio,Issued UOPs,Executed UOPs,Retired UOPs,L1 DTLB load misses,L1 DTLB load miss rate,L1 DTLB load miss duration [Cyc],L1 DTLB store misses,L1 DTLB store miss rate,L1 DTLB store miss duration [Cyc],Uncore Clock [MHz],L2D load bandwidth [MBytes/s],L2D load data volume [GBytes],L2D evict bandwidth [MBytes/s],L2D evict data volume [GBytes],L2 bandwidth [MBytes/s],L2 data volume [GBytes],SP MFLOP/s,AVX SP MFLOP/s,Temperature [C],Energy PP0 [J],Power PP0 [W],Energy PP1 [J],Power PP1 [W],L1I request rate,L1I miss rate,L1I miss ratio,L1I stalls,L1I stall rate,Branch rate,Branch misprediction rate,Branch misprediction ratio,Instructions per branch,Avg. recovery duration,Number of divide ops,Avg. divide unit usage duration,L3 request rate,L3 miss rate,L3 miss ratio,Local LLC false sharing [MByte],Local LLC false sharing rate,IPC,Total Slots,Slots Retired,Fetch Bubbles,Recovery Bubbles,Front End [%],Speculation [%],Retiring [%],Back End [%],Total execution stalls,Stalls caused by L1D misses [%],Stalls caused by L2 misses [%],Stalls caused by memory loads [%],Execution stall rate [%],Stalls caused by L1D misses rate [%],Stalls caused by L2 misses rate [%],Stalls caused by memory loads rate [%]
1.2,False,-0.8524856147623673,-0.8643842948729925,-0.8623059098031643,0.9884952242591993,0.9142863521968678,-0.9031052729313285,0.9031052729313275,0.9145795313094064,-0.9999973388287533,-0.8875878295772591,-0.8625367053571474,-0.8394345709168881,-0.9754682374725736,-0.8698253906517035,-0.09890989387615465,nan,nan,-0.9324186152577885,-0.9069969987301352,-0.6832757637039234,0.8341792170792038,0.862713427156339,0.6027506465106462,-0.6696419614954539,-0.6171474983758921,0.5988155006964253,0.99366763464752,0.9317380195241826,-0.885782218596653,0.9370625973722295,-0.8943734476021568,0.9335317118491144,-0.8943747677878701,-0.843015250175894,0.9862087021692394,-0.8668478482259189,0.9362214263589214,-0.7124303394909868,nan,nan,-0.7124303394909868,-0.7836583905136396,nan,-0.903163301565246,-0.901227388763443,-0.9027522930563778,-0.888686484657975,-0.8075194570764012,0.9258849916122811,-0.89689001505876,-0.9765646743468134,0.9178491180843795,nan,-0.9851249050847715,-0.8889929119421445,-0.9457597290914037,-0.8983801863662133,-0.9794893508844079,-0.8907762734505003,nan,nan,0.6758453353343744,-0.47999324554185885,0.9904005058547186,nan,nan,0.9999313940243386,-0.43705524625551406,-0.43778806532527,-0.39817288907669196,0.7953559537197222,-0.1880798546509395,0.9240233019852712,0.9261523550147764,0.19113938026136748,-0.5933071564271976,0.2980190599637664,0.7951880371998159,0.7769084047531877,0.7760260572802168,-0.6166145354298377,nan,nan,-0.9131300836663568,-0.862203016104597,-0.9089322789188893,-0.1724504671605541,-0.6052327752805374,0.8415538080650379,0.5668643344729046,-0.901977081841479,0.9090744203533059,-0.8525091510098463,0.19273857545588335,-0.19409347057502485,-0.34217956298757757,0.8577463403526662,0.7242771580129912,0.6450903305110325,0.5641080073289192
1.7,False,-0.831682660082587,-0.8485570407432129,-0.8453096778350148,-0.8985682803970597,0.9824648409970791,-0.9984190187464906,0.998419018746491,0.9802790156347908,-0.9931086082353417,-0.9264761313649655,-0.9910290033273083,-0.93464255991159,-0.9923076090058188,-0.9296278706060045,0.9176629354822472,nan,nan,-0.8834308342755581,-0.8742254918871819,-0.8571464999631165,0.9986066408133698,-0.9202075069482145,-0.9318829866325834,-0.918990338032964,-0.2698551539965596,0.8098205164471622,0.5009798623737323,0.6243344399993292,-0.9703012918546231,0.8701351924400264,-0.9686634025487655,0.7054552173444949,-0.9720236882380688,-0.7631580703258047,0.9800303381306427,-0.9347062239101916,0.7340407962632861,-0.802955068546966,nan,nan,-0.802955068546966,-0.8029550685469662,nan,-0.8942236657896345,-0.8994370877179264,-0.8970150297153363,-0.8940142904408479,-0.977418302349983,0.995546473430382,-0.9118531184826478,-0.9732927876545298,0.9747223036849362,nan,-0.9966457836470521,-0.9117698720573834,-0.99938006152651,-0.9050616607873905,-0.9973217360955978,-0.9105066997537916,nan,nan,0.802955068546966,0.7111802764750879,0.9908109291130147,nan,nan,0.5434129832875915,0.9992291819488531,0.9971764649527379,0.6744513759074136,0.932912166730201,0.9894569487392714,0.9574264112002933,0.9913722073191379,-0.9874865420119749,-0.9375471405806778,0.8201812309983548,0.8108496502159656,0.9525727072276785,0.9485249713431854,-0.9481869021617714,nan,nan,-0.9999998082628793,-0.8452255600125355,-0.9029410047284935,-0.11730674320869944,-0.9506332081485322,0.9167057172386802,-0.7181911722123281,-0.9998678633660996,0.9999233647428044,-0.8304872080559011,-0.868558306811614,-0.8971801473827744,-0.8421886955824932,0.9994581905878612,0.7699881491828827,0.7279849058828564,0.8509649297797138
2.2,False,-0.8075021516925082,-0.8257299515870306,-0.821606791240171,0.344957730136844,0.9892681177186226,-0.9816438162513225,0.9816438162513222,0.9991336357001815,-0.9997442196671836,-0.9237444455222961,-0.9992852852730177,-0.9227107161429785,-0.9995988355801539,-0.923359858323847,0.9763392457602602,nan,nan,-0.9242984535219222,-0.9298175893930519,-0.9454971690784865,0.997342237565549,-0.8875348674877114,-0.9401708494524641,-0.9185797370999881,-0.37074892748491506,0.7669978029840284,0.8007554394188733,0.5260805626768504,-0.9999871271243311,0.8127080760541214,-0.5575817067019965,0.6245556198342858,-0.999632073652759,-0.5269924418167946,0.9951561409709359,-0.9108508829935132,0.6625164873141508,-0.802955068546966,nan,nan,-0.802955068546966,-0.8029550685469662,nan,-0.8926701934509382,-0.8996955426252461,-0.8963840924861172,-0.9069768200821899,-0.9998338364385216,0.9884493607996241,-0.902624988288945,-0.9976277933623079,0.9921068298282868,nan,-0.9991145906622523,-0.9122247813754919,-0.9972097887451692,-0.9065435788143232,-0.9988292875459612,-0.9111144150401763,nan,nan,0.802955068546966,0.8815165166294483,0.998333479534618,nan,nan,-0.9171355446889743,0.9960022651642357,1.0,0.7428500173112103,0.9322670051650116,0.9892112885185917,0.9570627198570141,0.9933992677987828,-0.9889358548863338,-0.9749720853687843,0.8672885018386257,0.21699208968081526,0.98407275318162,0.9873884487362791,-0.9945183977303216,nan,nan,-0.9943646563446853,-0.8207293262199192,-0.9004625338942464,0.7518713431329312,-0.8614701243001376,0.9034488135780419,0.586839576514327,-0.9957267497484716,0.9937210124597508,-0.7991773889230912,-0.999867215781569,-0.9949398287314795,-0.9934397799489155,0.9947999520332514,-0.7529552044162653,-0.9998178091727555,0.8164878186262111
1.2,True,-0.8549884305868476,-0.8824144379317104,-0.8806821285041363,-0.982340710891833,0.8951047516660614,-0.9003145226895233,0.9003145226895249,0.9241773969456594,-0.9996194026777475,-0.8945105729221817,-0.9999597167853272,-0.8954114141587228,-0.9999352982814105,-0.8948461848613519,0.9774934173378921,nan,nan,-0.9136861379806437,-0.9192007139316628,-0.9588798051086905,0.8743304340737941,-0.9970375111094243,-0.9730993771925089,-0.8324639666038176,0.917662935482247,0.9176629354822471,0.917662935482247,0.9688841760977972,-0.9381786115585675,0.9589991161010734,-0.9943667990616847,0.9655488579160483,-0.9594126260775727,-0.8599339695730106,0.999094904225282,-0.905574969990358,0.9747269443011327,0.917662935482247,nan,nan,0.917662935482247,0.9176629354822471,nan,-0.908353938088336,-0.9078905769168503,-0.9086510502088397,-0.9131754212792491,-0.9988229391914273,0.8788417333782663,-0.9074261930510754,-0.998562913335194,0.8953131999920594,nan,-0.9902018739146681,-0.9005109674211251,-0.9408567402358383,-0.9120331457093542,-0.9841510728792326,-0.9026744040861264,nan,nan,0.8592345816656876,-0.8312092576481044,0.9956966652540326,nan,nan,-0.5909889416947838,0.8692695186246162,0.8870212883108943,-0.18870221127103318,0.8980781827214099,-0.4574048973867291,0.999199893186383,0.9993119352914265,0.48161750514043095,-0.7369829969777294,0.8394449407682436,-0.8578786895300348,0.47060770588939776,-0.9226129063148778,-0.902539049831269,-0.1147078669352809,-0.11470786693528087,-0.8442453905037434,-0.879587150163435,-0.9177088159168146,-0.9161474333001913,-0.8441744607736894,-0.8276809317738836,0.17811282085734956,-0.8168569727158038,0.8047960267494905,-0.8755418240081055,-0.9200566101298341,-0.8517686035025726,-0.9903054314568722,0.8501518665272154,-0.9616374848126972,-0.8578376947266544,-0.3090370464574597
1.7,True,-0.8589885117570748,-0.8970784882031619,-0.8980177971885642,0.939075507250466,0.9974945417948616,-0.9863309073676643,0.9863309073676654,0.9999979307014397,-0.9995074526835838,-0.9208365058036145,-0.9997518956585746,-0.9216187718022176,-0.9996095719286743,-0.9211173110120012,0.9862604709408586,nan,nan,-0.9619498757615428,-0.9472857682098215,-0.6160014410867234,0.9999978534576099,-0.9737161100812908,-0.9736137551418619,-0.9542894227579127,0.7110007167473802,0.89682287952154,0.6420985297554208,0.8762350855257883,-0.9937090740524184,0.9599262876423922,-0.9390748384537745,0.9104982400630448,-0.9899837205065758,-0.8675638641959702,0.9997239073989799,-0.9662010383436284,0.9281114311313803,0.9176629354822471,nan,nan,0.9176629354822471,0.9176629354822471,nan,-0.9115472977212015,-0.9105330872192537,-0.9111049171843348,-0.9080676687120017,-0.9969961580131949,0.985780470616033,-0.9134404699006138,-0.9999868704662074,0.9787741189386459,nan,-0.9995438551516626,-0.9133459109413093,-0.9981985071843977,-0.9097814911743635,-0.9993444592064658,-0.9126052797664236,nan,nan,0.8029550685469661,-0.6615950003433867,0.9944513704623702,nan,nan,-0.96536198523491,0.8029550685469661,0.9994664294862463,-0.5322472285600715,0.9762210399274297,0.7046340397452985,0.9176629354822471,0.8549997191557224,-0.6856889648826308,-0.9077904606415746,0.995208087222854,0.801184910765822,0.9294411239231973,-0.9971764649527384,-0.9446091627563075,0.917662935482247,0.9176629354822471,-0.9999849406072601,-0.892370755963752,-0.906170354006735,-0.9068907265322148,0.724429234400251,-0.998200074537057,0.953460735401906,-0.9997178568894697,0.9986339529268737,-0.8986441679852007,-0.9898402635765001,-0.9879734142404978,-0.7554082995357236,0.9993094254760236,-0.9705291927671331,-0.9699580288777137,0.03830762469110059
2.2,True,-0.7771367336312056,-0.8258463126386348,-0.8161495279862268,0.1239626491344305,0.9873960645847526,-0.9786955789430766,0.978695578943076,0.9999461874958281,-0.9999874726173661,-0.9229386035472441,-0.9999994786609206,-0.9276711844369774,-0.9999938326934449,-0.9246578145186801,0.9179958397651006,nan,nan,-0.9707229600266046,-0.960836017823539,-0.9086967947645601,0.9941776177313079,-0.9856804430413214,-0.9936547068539944,-0.9948336586090116,0.8872078273867983,0.9959808941279412,0.999830532260212,0.6041608838114577,-0.9957135641619276,0.7395366685222228,-0.9659499445232812,0.6541944208370617,-0.9992858781252283,-0.6164217951062128,0.9999845912362804,-0.9327507549136244,0.7598848804181506,0.9253264421550198,nan,-0.11470786693528087,0.9219437443670051,0.9264061040145346,nan,-0.8919102898735327,-0.8978114276216151,-0.8952052777061615,-0.8974787403159352,-0.9875127826330061,0.988065779718971,-0.9033661063296029,-0.995458132684691,0.9857948076960537,nan,-0.9959684254619832,-0.9068103742052395,-0.99516191468951,-0.9043593779962084,-0.9957936387428439,-0.9062806577466128,nan,nan,0.802955068546966,0.7474830365419899,0.9979948570738018,nan,nan,-0.9573495097567117,0.269708414548848,0.8029550685469663,0.7143271562601391,0.9890355578493206,0.9565670943622272,0.9628197571865004,0.969007130621042,-0.9548144107283001,-0.8577397364979066,0.9748614254534853,0.8028061466156196,0.9936294029710359,0.9955265386131764,-0.9986612660131177,0.9176629354822471,0.9176629354822471,-0.9969040748102497,-0.8450974204447765,-0.8952801176948224,-0.9053255758559344,-0.855810061398499,-0.9995355461456751,0.8029550685469662,-0.9944659552396665,0.9968736794509977,-0.8138874587494235,-0.9082533187770557,-0.933781311066037,-0.9192104503808461,0.9904843243728788,-0.8362445340177401,-0.8784416872398865,-0.819479163888792
