#Threads,HT,Run time,Runtime (RDTSC) [s],Runtime unhalted [s],Clock [MHz],CPI,Used cycles ratio [%],Unused cycles ratio [%],Avg stall duration [cycles],L3 load bandwidth [MBytes/s],L3 load data volume [GBytes],L3 evict bandwidth [MBytes/s],L3 evict data volume [GBytes],L3 bandwidth [MBytes/s],L3 data volume [GBytes],Load to store ratio,Packed SP MFLOP/s,Packed DP MFLOP/s,L2 request rate,L2 miss rate,L2 miss ratio,Cycles without execution [%],Cycles without execution due to L1D [%],Cycles without execution due to L2 [%],Cycles without execution due to memory loads [%],L1 ITLB misses,L1 ITLB miss rate,L1 ITLB miss duration [Cyc],Memory load bandwidth [MBytes/s],Memory load data volume [GBytes],Memory evict bandwidth [MBytes/s],Memory evict data volume [GBytes],Memory bandwidth [MBytes/s],Memory data volume [GBytes],Energy [J],Power [W],Energy DRAM [J],Power DRAM [W],DP MFLOP/s,AVX DP MFLOP/s,Packed MUOPS/s,Scalar MUOPS/s,Operational intensity,Vectorization ratio,Issued UOPs,Executed UOPs,Retired UOPs,L1 DTLB load misses,L1 DTLB load miss rate,L1 DTLB load miss duration [Cyc],L1 DTLB store misses,L1 DTLB store miss rate,L1 DTLB store miss duration [Cyc],Uncore Clock [MHz],L2D load bandwidth [MBytes/s],L2D load data volume [GBytes],L2D evict bandwidth [MBytes/s],L2D evict data volume [GBytes],L2 bandwidth [MBytes/s],L2 data volume [GBytes],SP MFLOP/s,AVX SP MFLOP/s,Temperature [C],Energy PP0 [J],Power PP0 [W],Energy PP1 [J],Power PP1 [W],L1I request rate,L1I miss rate,L1I miss ratio,L1I stalls,L1I stall rate,Branch rate,Branch misprediction rate,Branch misprediction ratio,Instructions per branch,Avg. recovery duration,Number of divide ops,Avg. divide unit usage duration,L3 request rate,L3 miss rate,L3 miss ratio,Local LLC false sharing [MByte],Local LLC false sharing rate,IPC,Total Slots,Slots Retired,Fetch Bubbles,Recovery Bubbles,Front End [%],Speculation [%],Retiring [%],Back End [%],Total execution stalls,Stalls caused by L1D misses [%],Stalls caused by L2 misses [%],Stalls caused by memory loads [%],Execution stall rate [%],Stalls caused by L1D misses rate [%],Stalls caused by L2 misses rate [%],Stalls caused by memory loads rate [%]
1,False,-0.9903599970260911,-0.9903578240498925,-0.6616269342765361,0.9997633428372552,-0.8660254037844385,0.776908404753046,-0.7769084047532469,-0.7205766921228919,0.9957895747944114,-0.8660254037844386,0.982998409715076,-0.8660254037844386,0.9974634563753761,-0.9607689228305226,0.9903932653476041,0.9998407567338046,nan,-0.9997214344162516,-0.47651755221112896,0.9989470853916118,0.08102034585258779,-0.887356509416114,-0.8884585531036835,0.8436997286578773,-0.8453624913668061,-0.8445756495627896,0.6903154312398021,-0.8701356604460191,-0.8703163869100767,-0.9281759106494563,-0.921156071510099,-0.871000128240408,-0.8711265542513325,-0.9838483942845122,0.9928901404814652,-0.966337693020527,-0.8646920431419839,nan,nan,nan,nan,0.8053439805115696,nan,0.9627916720152029,0.9632485286707138,0.9632863884730422,-0.9899075236360134,-0.9902373206616809,0.07191875658584937,-0.7892030437536439,-0.7906667392291962,-0.08525891331446497,nan,0.8356972626687763,-0.9631231373018602,0.9302789496511134,-0.996615895540124,0.9794668222602474,-0.9770303522611117,0.999557204081844,0.999557204081844,0.989743318610787,0.999758280456754,0.9976777853921438,nan,nan,nan,-0.8017685297454537,-0.8018278620937594,-0.936756404337772,-0.9346644747040564,nan,-1.8129866073473573e-16,1.8129866073473573e-16,0.8660254037844385,0.8660254037844385,-0.9031147106657516,nan,-0.873295243136855,-0.9584111502144429,-0.9140411229686644,nan,nan,0.8660254037844386,0.19418606912592867,0.21605910480984777,-0.8834795656442466,-0.10755798893878489,-0.8029550685469661,-0.9220179477747635,0.7283124334566015,0.2034970342422391,-0.8513264123022904,-0.9999098733719048,-0.9865827096893441,0.7080060979056122,-0.8075956597773359,-0.999015263178192,-0.9933992677987828,-0.5143061309755407
3,False,-0.9869083990695996,-0.9819570560638401,-0.916325521937249,0.999999905911815,0.8029550685469713,-0.7566191863882875,0.7566191863882631,0.7777137710478319,0.7815305266726077,1.127847555603672e-16,0.7495948354736459,0.5311180141825881,0.778696967943887,1.1495278679972237e-16,nan,0.9998934331695839,nan,-0.9578514954311753,0.5731626936872873,0.8675985457185976,-0.581775594644369,0.39735970711951324,0.3711537444790452,0.8973451269593486,-0.8770506266762501,-0.87727531736876,0.6223749011341116,-0.8667724651960674,-0.9752406760125412,-0.5992415690565077,-0.8694823821839051,-0.8640296762874465,-0.9743734697019034,-0.9265265032232428,0.9954496426375562,-0.9971854011723196,-0.8771980339854585,nan,nan,nan,nan,nan,nan,0.7749741266218453,0.7680810603686207,0.7769089070603267,0.6580245080018038,-0.9912164658323226,-0.8936719012902055,-0.4021727300474359,-0.5462304833921969,-0.52516482038886,nan,0.23338041126099193,-1.1736832802634055e-16,0.8463541068780632,0.6021322549164363,0.26212092489763783,-1.1736832802634055e-16,0.9999930883192885,0.9999930883192885,0.9912407071619304,0.9918489492922166,0.9905585355653861,nan,nan,nan,-0.9930737572493789,-0.9930749431279139,-0.8456012753523172,-0.8592571530793679,nan,-0.7587166016340194,-0.7587153866437251,nan,0.997526084361162,nan,nan,0.2537848675427663,-0.8935249968022111,-0.9890148788464116,nan,nan,0.1555427542095262,-0.9157543185790109,-0.8859272896531545,-0.8016740015205808,-0.9305459773154136,-0.2674051200759444,-0.9332565252573828,0.1520269368224301,-0.13833135162082882,-0.8507667156647395,-0.6780364245316085,-0.7184145025072104,0.9510794453610398,0.15107392400951883,-0.654653670707977,-0.6933752452815363,0.6512639249520087
6,False,-0.9861983803634903,-0.9999991447440953,0.14221215942243712,0.9999993449555784,-0.018995301266731157,0.017700040980126827,-0.017700040980127067,-0.0054127575344196585,0.005127129465890672,-0.15554275420956395,-0.04826814553140913,-0.24457966604977516,0.0029150519416092178,-0.13206763594884371,1.341352320300757e-16,0.9999410356284871,nan,-0.7544653594375452,0.776408373338204,0.4771539206206235,-0.15015416100734721,-0.9960784162656541,-0.9992600812897369,0.9438006438241376,-0.27116398395881425,-0.25581989348314743,0.11796375992421568,0.21918198255985882,-0.9388165387645941,-0.028696859784513928,-0.4026511257516004,0.3940646655575253,-0.9502325414949353,-0.34467313115058473,0.9956991270333737,-0.9496873981396161,0.02584287063389833,0.13934933925280857,nan,0.8660254037844387,0.07524056928164576,0.0897809082010887,nan,0.27734638293839564,0.2662910232293542,0.2777307715095005,0.0018388282055457695,-0.03999459786697406,-0.19475962208601327,-0.0832263319047347,-0.1496805844714956,0.6241342757575432,nan,0.779578620367077,-0.8660254037844386,0.9974059619080591,-0.8660254037844387,0.8078337425976405,-0.8660254037844386,0.999950785948251,0.999950785948251,0.9707253433941511,0.9980313125302462,0.9985582185876739,nan,nan,nan,-0.6542757095486459,-0.6542214415075108,-0.9955288061888372,-0.9741211318257412,1.8129866073473573e-16,-0.9484623968745265,-0.9484624249180619,nan,0.7656476746087789,nan,nan,-0.999999352290121,-0.465271176652663,-0.34409953901153173,nan,nan,0.2532255056530538,0.1369877793044963,0.14259758158550434,-0.9502527808914218,-0.9986219981474872,-0.6477437786204906,-0.8660254037844386,0.25193434081207133,-0.17946709804490768,0.002081552534787957,-0.35794296888118926,-0.2843313323634204,0.0053602433241817455,0.0002266714254586009,-0.9933992677987828,-0.9819805060619659,0.015483416918296106
1,True,-0.9934342244003123,-0.9917019363157717,0.9985862406609914,0.9995605861422924,0.8020364550503227,-0.8023846045724837,0.8023846045724837,0.790427756469746,-0.9744837079508707,-0.9522165814091076,-0.9220179477747357,-0.8660254037844387,-0.9849509840372982,-0.9743547036924464,nan,0.9991586211503755,nan,-0.29124507334031235,-0.9942319002189083,-0.7480556242980474,0.4173306466683186,-0.9296832967972583,-0.8660254037844386,-0.30651513638518224,nan,nan,nan,0.9652436484908709,-0.17276025589196134,0.9354890238624803,-0.21160368475758007,0.9616700807035675,-0.17936438266678542,-0.9914927200091201,0.9954320065733028,-0.9948763983055162,-0.45392064950155486,0.8660254037844386,nan,nan,0.8660254037844386,0.8660254037844387,nan,-0.865438124494494,-0.9135686204008262,-0.9319279566065857,-0.8660254037844386,-0.8698399830141228,-0.7290046558738095,-0.8660254037844387,-0.8698398223843306,-0.8744717559903037,nan,-0.9398294967903261,-0.9933992677987827,-0.2579154176122585,-0.9979487157886734,-0.7166275592607441,-0.9948497511671097,0.9992285970060021,0.9992285970060021,0.989743318610787,0.9999613722473666,0.9943426675446114,nan,nan,0.4610839676207044,-0.9938294500793056,-0.9855525661588627,-0.9976916754185553,-0.9958746498948323,nan,0.31533865052403454,0.4217376174824369,nan,-0.6654341778867463,-0.6964596640719083,-0.8154898887354739,-0.9888204476423776,-0.7113751286276989,0.6434665161613214,nan,nan,-0.8416975766245448,0.998431191583084,0.859917165403346,0.8541784975746278,0.838708170230012,0.8446182627939852,0.8337676650093236,-0.8411947047408748,0.8838011310593529,0.9157006583568187,-0.6799343576727905,0.023087854826980916,-0.8087757286184686,0.8645526277643253,-0.6185895741317416,0.18898223650461388,0.8880799432032472
3,True,-0.9835467787233784,-0.9711565851863451,0.5571497974734396,0.9999998962374043,0.49381461646230856,-0.5073423482679903,0.5073423482679903,0.5899848526638239,0.951410844502487,0.8660254037844387,0.9755297332523383,0.9835081248000247,0.9535574957953611,0.8660254037844387,-0.8660254037844387,0.9982863736410056,nan,-0.9071572203249999,0.9236019227960773,0.9353216717691293,0.8203945030946388,-0.6342853307421683,-0.6185895741317416,-0.8569870496841632,0.8660254037844387,0.8660254037844389,0.8660254037844388,-0.012635120796293042,-0.037117870375065275,-0.9690321511935143,-0.9999487061116332,-0.016336330504239143,-0.04540307517918746,-0.9995055299820584,0.9984286774065546,-0.972532657648835,-0.0529104588805937,0.8660254037844387,nan,nan,0.8660254037844387,0.8660254037844389,nan,-0.5389792680327197,-0.5815893144475381,-0.5936927351891862,0.18769502259909038,0.9812626758204137,0.13282602412456987,0.2016477407108924,0.48063091445931255,-0.9444950765774431,nan,-0.8319645829381513,-0.8660254037844386,-0.8317513775132719,-0.8660254037844386,-0.8247818309392705,-0.8722770483592904,0.9995144218571199,0.9995144218571199,0.9866660700433733,0.9987468610160701,0.9910829708217682,nan,nan,-0.011469780616547368,-0.07313717999165166,-0.07017051182671726,-0.21857565620744457,-0.2212181124772346,1.8129866073473573e-16,0.5,0.3273268353539887,nan,0.9593089268696706,nan,nan,-0.3499637017710423,-0.838754963293705,-0.8003171482700969,nan,nan,-0.5974317423138995,0.48418743513479,0.3965954642062303,0.5353497938862899,0.6356911791789827,0.5273544125218539,0.62855688836374,-0.5968661828332079,-0.3158942743209706,0.4792876997442209,-0.9244734516419051,-0.9425243599811393,-0.3205011270326311,0.4527229772512951,-0.9078412990032037,-0.9244734516419049,0.5023462825468868
6,True,-0.9852815083566827,-0.9834840886515831,0.994917784402372,0.999999454920023,0.8108848540793909,-0.37521225023984034,0.37521225023984034,0.608147892572417,-0.20847961748015448,-0.2923064111077341,-0.2404825576502197,-0.31126285059592673,-0.21198702199843134,-0.31139315857681166,-0.8721880920391091,0.9954384964783849,nan,nan,0.2598014445461346,0.3930817148544013,-0.86818036667883,-0.9746511390246181,-0.9819805060619657,0.8664729231378252,-0.9306778637672605,-0.9301139159279596,-0.955516785995957,-0.9113430800066774,-0.9892382371622891,-0.7560547165268298,-0.9071864854454214,-0.8544791504137353,-0.9942117903272327,-0.18271236854893805,0.9986288214285078,-0.9711117996687358,-0.7777137710478189,0.8660254037844386,nan,nan,0.8660254037844386,0.8364593614264931,nan,0.14200408478665066,0.14300437285575543,0.1413514482054665,0.028717457196281795,-0.034127710341218115,-0.0010466707931118934,0.21798336343682856,-0.033980485135771385,0.3847154484874128,nan,0.915530528184813,0.8846153846153847,0.9176829459998083,0.8660254037844387,0.9136127143039162,0.8435842787970637,0.9444957214583554,0.9444957214583554,0.944911182523068,0.9867521693400316,0.9892555820423286,nan,nan,-0.1320676359488268,-0.872450500187758,-0.8725471600290143,-0.9225608520479884,-0.925717037993436,1.1736832802633717e-16,-0.9780307523538171,-0.978232318687915,0.26236684280354067,0.5155483088335039,nan,nan,-0.8725209577934679,-0.8655477095845441,-0.825992817442182,1.0,0.9974180328850654,-0.3973597071193273,0.9948405398004964,0.994641784805801,0.9921963795261766,-0.8796592537398819,-0.9928970953837688,-0.9041944301794652,-0.4057170964259791,0.7087238308715966,0.912027029560434,0.9585528662915614,0.96312313730186,-0.025216020288070806,-0.167596333064386,0.9607689228305227,0.9665704406521509,-0.1671233274210863
